"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Decoding of Quasi-cyclic LDPC Codes Using an On-the-Fly Computation","K. K. Gunnam; G. S. Choi; W. Wang; E. Kim; M. B. Yeary","Department of ECE, Texas A and M University, College Station, TX, USA; Department of ECE, Texas A and M University, College Station, TX, USA; Department of ECE, Texas A and M University, College Station, TX, USA; Department of ECE, Texas A and M University, College Station, TX, USA; Department of ECE, University of Oklahama, Norman, OK, USA","2006 Fortieth Asilomar Conference on Signals, Systems and Computers","7 May 2007","2006","","","1192","1199","The implementation complexity of the decoder for low-density parity-check codes (LDPC) is dictated by memory and interconnect requirements. We propose new LDPC decoder architectures that reduce the need of message passing memory by 80% (for standard message passing)-55%(for layered decoding) and the router requirements by more than 50%. These novel architectures are based on scheduling of computation that results in ""on the fly computation"" of variable node and check node reliability messages. These architectures are targeted for quasi- cyclic LDPC codes such as array LDPC codes (regular QC-LDPC) and block LDPC codes (irregular QC-LDPC). FPGA and ASIC implementation results show substantial gains when compared to the existing work in the literature.","1058-6393","1-4244-0784-2","10.1109/ACSSC.2006.354944","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4176754","low-density parity-check (LDPC) codes;offset min-sum;vector processing;decoder architecture;layered decoding;turbo decoding message passing;array LDPC;quasicyclic LDPC;Block LDPC;irregular LDPC;IEEE 802.16e;WiMax;IEEE 802.11n;Wi-fi;on-the-fly computation;block-serial processing","Decoding;Parity check codes;Computer architecture;Message passing;Processor scheduling;Field programmable gate arrays;Throughput;Turbo codes;Dynamic scheduling;Out of order","","16","37","20","IEEE","7 May 2007","29 Oct.-1 Nov. 2006","29 Oct.-1 Nov. 2006","IEEE","IEEE Conferences"
"Analysis and Design of Moderate Length Regular LDPC Codes with Low Error Floors","C. A. Cole; S. G. Wilson; E. K. Hall; T. R. Giallorenzi","University of Virginia, Charlottesville, VA, USA; University of Virginia, Charlottesville, VA, USA; L-3 Communications, Salt Lake, UT, USA; L-3 Communications, Salt Lake, UT, USA",2006 40th Annual Conference on Information Sciences and Systems,"22 Jan 2007","2006","","","823","828","The traditional method to estimate code performance in the higher SNR region is to use a sum of the contributions of the most dominant error events to the probability of error. If an ML decoder is used, these events will be minimum distance codewords; the traditional decoder used in LDPC codes, some variant of the message passing algorithm, will introduce non-codeword error events known as trapping sets. For long LDPC codes it is difficult to enumerate all of these dominant error events. A procedure to efficiently find dominant error events by using the regular low-density structure of an LDPC code is presented here. The search method can be adapted to work with LDPC codes of various regular and irregular degree distributions, but is especially suited to a very practical subset of LDPC known as regular {3, 6} codes of moderate block length. We also show how codes with very low error floors can be created by utilizing this search method.","","1-4244-0349-9","10.1109/CISS.2006.286581","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4067922","LDPC;error floors;trapping sets","Parity check codes;Decoding;Message passing;Search methods;Signal to noise ratio;Additive white noise;AWGN;Hamming weight;Cities and towns;Hardware","","18","3","17","IEEE","22 Jan 2007","22-24 March 2006","22-24 March 2006","IEEE","IEEE Conferences"
"LDPC codes based on circulant permutation matrices for fast encoding","Y. Ma; M. Lee; Y. Xiao","Institute of Info. & Comm., Chonbuk National Univ., Jeonju, 561-756, South Korea; Institute of Information & Comm, Chonbuk National University of Korea, Jeonju, South Korea; Institute of Information Science, Beijing Jiaotong University, Beijing, China","2006 IET International Conference on Wireless, Mobile and Multimedia Networks","7 Aug 2009","2006","","","1","3","In this paper we present a class of algebraically structured quasi-cyclic (QC) low-density parity-check (LDPC) codes which have lower encoding complexity than randomly constructed LDPC codes for the specific structure of their parity-check matrices. Since the parity-check matrices are comprised of blocks of circulant permutation matrices, the storage efficiency can be improved significantly. We also show QC properties and the performance of these codes.","0537-9989","0-86341-644-6","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5195502","circulant permutation matrices;low-density parity-check (LDPC) block codes;fast encoding;quasi-cyclic (QC) codes","","","","1","","","7 Aug 2009","6-9 Nov. 2006","6-9 Nov. 2006","IET","IET Conferences"
"Construction of LDPC codes based on narrow-sense-primitive BCH codes","Yu Yi; Liu Shaobo; Huang Dawei","GET/ENST Bretagne/PRACOM, Unité CNRS 2658, Brest, France; Bell Laboratory Research China, Lucent Technology, Beijing, China; Bell Laboratory Research China, Lucent Technology, Beijing, China",2005 IEEE 61st Vehicular Technology Conference,"5 Dec 2005","2005","3","","1571","1574 Vol. 3","In this paper, we present an algebraic method for constructing regular low-density parity-check (LDPC) codes based on narrow-sense-primitive BCH codes. The construction method results in a class of high rate LDPC codes in Gallager's original form. Codes in this class are free of cycles of length 4 in their Tanner graph and have good minimum distances. They can perform well with the iterative decoding. Also, proposed algebra LDPC codes can be designed for a new class of irregular codes based on a semi-algebraic structure for various code rates. It is shown that, with the proposed construction algorithms, fast construction time and reduced memory without the performance degradation can be achieved.","1550-2252","0-7803-8887-9","10.1109/VETECS.2005.1543584","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1543584","Low-density parity-check (LDPC) codes;BCH codes;irregular LDPC codes and sum product algorithm","Parity check codes;Iterative decoding;Space technology;Iterative algorithms;Degradation;Sum product algorithm;Buildings;Algebra;Binary codes;Encoding","","3","","13","IEEE","5 Dec 2005","30 May-1 June 2005","30 May-1 June 2005","IEEE","IEEE Conferences"
"Robust Image Transmission Based on Product-Code Optimization for Determinate State LDPC Decoding","N. Thomos; N. V. Boulgouris; M. G. Strintzis","Informatics and Telematics Institute, Thessaloniki, Greece; Division of Engineering, King''s College, UK; Informatics and Telematics Institute, Thessaloniki, Greece",2006 International Conference on Image Processing,"20 Feb 2007","2006","","","5","8","We propose a novel scheme for error resilient image transmission. The proposed scheme employs a product coder consisting of LDPC codes and RS codes in order to deal effectively with bit errors. The efficiency of the proposed scheme is based on the exploitation of determinate symbols in Tanner graph decoding of LDPC codes and a novel product code optimization technique based on error estimation. Experimental evaluation demonstrates the superiority of the proposed system in comparison to recent state-of-the art techniques for image transmission.","2381-8549","1-4244-0480-0","10.1109/ICIP.2006.313197","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4106452","Image transmission;Product codes;LDPC codes","Robustness;Image communication;Parity check codes;Iterative decoding;Error correction;Product codes;Error correction codes;Computer errors;Streaming media;Telematics","","","","9","IEEE","20 Feb 2007","8-11 Oct. 2006","8-11 Oct. 2006","IEEE","IEEE Conferences"
"An improved PEG construction of irregular LDPC codes by conditioning low-degree nodes","H. Chen; Z. Cao","Department of Electronic Engineering, Tsinghua University, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China","2006 IET International Conference on Wireless, Mobile and Multimedia Networks","7 Aug 2009","2006","","","1","4","Progressive Edge-Growth (PEG) algorithm is an important approach to construct good LDPC codes at short block lengths. PEG construction with optimized symbol-node degree distributions yield irregular codes with very good performance, especially in the water-fall region. In this paper, we present a modification to the PEG algorithm by conditioning low-degree symbol nodes in the Tanner graph. Our modified algorithm yields irregular codes with improved girth histogram at low-degree symbol nodes. Simulation results show that the modified algorithm can lower the error floor of irregular PEG codes considerably, while having slightly better performance in the water-fall region.","0537-9989","0-86341-644-6","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5195491","Low-density parity-check (LDPC) codes;irregular LDPC codes;girth conditioning;progressive edge growth (PEG);girth;girth histogram;low-degree symbol nodes;error floor;trapping sets","","","","","","","7 Aug 2009","6-9 Nov. 2006","6-9 Nov. 2006","IET","IET Conferences"
"A Comparative Performance and Complexity Study of Short-Length LDPC and Turbo Product Codes","M. A. Landolsi","EE Dept, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia",2006 2nd International Conference on Information & Communication Technologies,"16 Oct 2006","2006","2","","2359","2364","This paper presents a comparative performance and complexity study between low-density parity-check (LDPC) codes and turbo product codes (TPC) of short block length (within 2048 bits). The LDPC codes are of the semi-random (SR) type, characterized by low encoder complexity, and are further optimized by eliminating short cycles of length 4 (minimum girth 6). The TPC codes are obtained from 2D and 3D constructions chosen to match the LDPC codes' parameters. The numerical results show that the SR-LDPC codes have slightly better error performance (to within 0.5dB at a BER of 10-5 while demonstrating lower computational complexity per decoder iteration but the required number of decoding iterations is larger. However, this disadvantage is significantly reduced for moderately high signal-to-noise ratios (starting from 2.5dB). It is therefore concluded that SR-LDPC codes have a more competitive performance-complexity advantage overall","","0-7803-9521-2","10.1109/ICTTA.2006.1684775","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1684775","LDPC Codes;Turbo Product Codes;Bit Error Performance;Decoder Complexity","Parity check codes;Product codes;Maximum likelihood decoding;Iterative decoding;Bit error rate;Turbo codes;Sparse matrices;Bipartite graph;Iterative algorithms;Block codes","","14","","14","IEEE","16 Oct 2006","24-28 April 2006","24-28 April 2006","IEEE","IEEE Conferences"
"Lower bounds of weights and distances of good LDPC codes","Y. Xiao; M. H. Lee","Institute of Information Science, Beijing Jiaotong University, Beijing, China; Division of Electronics and Information, Chonbuk National University of Korea, Jeonju, South Korea","2006 IET International Conference on Wireless, Mobile and Multimedia Networks","7 Aug 2009","2006","","","1","5","Since the distance computation is a NP problem, most presented evaluations of LDPC codes are mainly based on the girth numbers of the codes. The computation for the distance of the codes is also depended on the girth numbers. There has been no simple way to obtain the distance of LDPC codes because the code length is very long. Based on generation matrices, this paper develops an algorithm to estimate the weights and distance of LDPC codes. The paper establishes the lower bounds of weights and distances of LDPC codes by using the vectors of generation matrices, which is different from the presented probabilitistic search methods for the weights' and distances of LCPC codes. The proposed algorithm can greatly reduce the searching time of weights and distances. Applying the algorithm we find that some LDPC codes get good BER performance although they are only free girth 4 but of great distances. Simulations verify the algorithms to be valid.","0537-9989","0-86341-644-6","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5195480","Codes;LDPC coding;distance bounds;weights bounds","","","","","","","7 Aug 2009","6-9 Nov. 2006","6-9 Nov. 2006","IET","IET Conferences"
"A Study on Symbol and Sub-Carrier Mapping Techniques for MC-CDMA based on LDPC Code with Progressively Increased Column-Weight","Miyazaki; Chen Zheng; Suzuki; Shinonaga","KDD Research and Development Laboratories, Inc., Yokosuka, Kanagawa, Japan; KDD Research and Development Laboratories, Inc., Yokosuka, Kanagawa, Japan; KDD Research and Development Laboratories, Inc., Yokosuka, Kanagawa, Japan; KDD Research and Development Laboratories, Inc., Yokosuka, Kanagawa, Japan","2005 IEEE 16th International Symposium on Personal, Indoor and Mobile Radio Communications","24 Jul 2006","2005","1","","266","270","This paper proposes a symbol mapping scheme on sub-carriers in use of MC-CDMA (Multi Carrier-Code Division Multiple Access) and LDPC (Low-Density Parity-Check) codes. Aiming at high spectrum efficiency, 16QAM modulation and LDPC codes with the PICW (Progressively Increased Column-Weight) are used here. The PICW-LDPC code is proposed in our previous studies and is proved to have better decoding performance as rate-compatible LDPC codes. By adopting the proposed symbol mapping method, the FER (Frame Error Rate) performance of the PICW-LDPC code is improved, the required EJN0 is reduced by 0.12 dB in an AWGN channel. In order to improve FER performance in the multi-path channel, the proposed sub-carrier mapping is further applied, and the required Es/N0can also be reduced by 2.32 dB.","2166-9589","978-3-8007-2909-8","10.1109/PIMRC.2005.1651440","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1651440","LDPC;PICW;MC-CDMA;OFDM;Symbol mapping;Sub-carrier mapping","Multicarrier code division multiple access;Parity check codes;Modulation coding;Decoding;Forward error correction;Radio transmitters;AWGN channels;Interference;Bandwidth;Code division multiplexing","","","1","13","IEEE","24 Jul 2006","11-14 Sept. 2005","11-14 Sept. 2005","IEEE","IEEE Conferences"
"Image Communications Based on Adaptive Segmentation and WIPC-LDPC over Wireless Channels","R. Guo; J. -l. Liu","Departmentof information Scienceand Electronic Engineering, University of Zhejiang, Hangzhou, Zhejiang, China; Departmentof information Scienceand Electronic Engineering, University of Zhejiang, Hangzhou, Zhejiang, China",2006 IEEE International Conference on Information Acquisition,"12 Feb 2007","2006","","","1406","1410","In order to improve error resilient ability and transmission efficiency for image transmission over wireless channels, a joint source channel coding (JSCC) scheme was proposed in this paper, in which adaptive image segmentation and irregular low-density parity check (LDPC) was fitted together. At first, an adaptive image segmentation method according to the pixel intensity was designed to segment an image into different region of interest (ROI) with different level of significance. Then, a novel irregular LDPC with weight-increasing parity-check (WIPC) matrix (WIPC-LDPC) was put forward, which can easily realize unequal error protection (UEP) scheme. At last, the adaptive segmentation and WIPC-LDPC coding were combined together to achieve JSCC: the different significance level ROI from the adaptive segmentation were coded by WIPC-LDPC with dissimilar degree bit nodes to achieve different level of protection. Simulation results show that the proposed scheme can support robust image transmission with not only high objective PSNR but also excellent subjective visual quality","","1-4244-0528-9","10.1109/ICIA.2006.305961","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4097894","JSCC;LDPC;WIPC;UEP","Image communication;Image segmentation;Parity check codes;Error correction codes;Pixel;Robustness;Channel coding;Linear matrix inequalities;PSNR;Maintenance","","","","13","IEEE","12 Feb 2007","20-23 Aug. 2006","20-23 Aug. 2006","IEEE","IEEE Conferences"
